Step,Actual Price,Next Price,Model Prediction,Actual Label,Result
338,24037.45,24041.7,Flat,Up,Wrong!
339,24041.7,24040.15,Flat,Up,Wrong!
340,24040.15,24056.6,Flat,Up,Wrong!
341,24056.6,24037.95,Flat,Down,Wrong!
342,24037.95,24026.05,Flat,Down,Wrong!
343,24026.05,24041.85,Flat,Up,Wrong!
344,24041.85,24046.5,Flat,Up,Wrong!
345,24046.5,24063.65,Flat,Down,Wrong!
346,24063.65,24046.2,Flat,Down,Wrong!
347,24046.2,24037.75,Flat,Down,Wrong!
348,24037.75,24040.7,Flat,Down,Wrong!
349,24040.7,24046.9,Flat,Up,Wrong!
350,24046.9,24043.9,Flat,Up,Wrong!
351,24043.9,24037.75,Flat,Down,Wrong!
352,24037.75,24009.7,Flat,Down,Wrong!
353,24009.7,24002.85,Flat,Down,Wrong!
354,24002.85,24020.05,Flat,Down,Wrong!
355,24020.05,24031.3,Flat,Down,Wrong!
356,24031.3,24015.2,Flat,Down,Wrong!
357,24015.2,23995.05,Flat,Up,Wrong!
358,23995.05,23981.95,Flat,Down,Wrong!
359,23981.95,23981.15,Flat,Up,Wrong!
360,23981.15,23969.0,Flat,Up,Wrong!
361,23969.0,23968.3,Flat,Up,Wrong!
362,23968.3,23982.95,Flat,Up,Wrong!
363,23982.95,23966.55,Flat,Down,Wrong!
364,23966.55,23970.8,Flat,Down,Wrong!
365,23970.8,23977.65,Flat,Up,Wrong!
366,23977.65,23986.2,Flat,Down,Wrong!
367,23986.2,23998.1,Flat,Up,Wrong!
368,23998.1,23987.45,Flat,Up,Wrong!
369,23987.45,23979.65,Flat,Down,Wrong!
370,23979.65,23987.0,Flat,Up,Wrong!
371,23987.0,23979.45,Flat,Down,Wrong!
372,23979.45,24004.6,Flat,Up,Wrong!
373,24004.6,24035.6,Flat,Up,Wrong!
374,24035.6,24031.4,Flat,Up,Wrong!
375,24031.4,24036.9,Flat,Down,Wrong!
376,24036.9,24028.2,Flat,Up,Wrong!
377,24028.2,24055.8,Flat,Down,Wrong!
378,24055.8,24087.3,Flat,Up,Wrong!
379,24087.3,24115.1,Flat,Down,Wrong!
380,24115.1,24104.2,Flat,Up,Wrong!
381,24104.2,24106.15,Flat,Up,Wrong!
382,24106.15,24102.85,Flat,Down,Wrong!
383,24102.85,24111.25,Flat,Up,Wrong!
384,24111.25,24109.45,Flat,Down,Wrong!
385,24109.45,24112.75,Flat,Down,Wrong!
386,24112.75,24114.8,Flat,Up,Wrong!
387,24114.8,24098.45,Flat,Down,Wrong!
388,24098.45,24110.2,Flat,Up,Wrong!
389,24110.2,24105.0,Flat,Up,Wrong!
390,24105.0,24082.35,Flat,Down,Wrong!
391,24082.35,24097.25,Flat,Up,Wrong!
392,24097.25,24092.45,Flat,Up,Wrong!
393,24092.45,24118.4,Flat,Flat,Correct!
394,24118.4,24121.9,Flat,Down,Wrong!
395,24121.9,24113.3,Flat,Down,Wrong!
396,24113.3,24125.95,Flat,Down,Wrong!
397,24125.95,24131.25,Flat,Up,Wrong!
398,24131.25,24132.4,Flat,Up,Wrong!
399,24132.4,24125.9,Flat,Down,Wrong!
400,24125.9,24108.35,Flat,Up,Wrong!
401,24108.35,24095.8,Flat,Up,Wrong!
402,24095.8,24126.7,Flat,Flat,Correct!
403,24126.7,24132.8,Flat,Down,Wrong!
404,24132.8,24116.45,Flat,Flat,Correct!
405,24116.45,24130.0,Flat,Up,Wrong!
406,24130.0,24134.2,Flat,Down,Wrong!
407,24134.2,24134.9,Flat,Down,Wrong!
408,24134.9,24124.6,Flat,Up,Wrong!
409,24124.6,24124.8,Flat,Down,Wrong!
410,24124.8,24130.15,Flat,Flat,Correct!
411,24130.15,24115.5,Flat,Down,Wrong!
412,24115.5,24102.2,Flat,Down,Wrong!
413,24102.2,24125.35,Flat,Down,Wrong!
414,24125.35,24121.3,Flat,Down,Wrong!
415,24121.3,24122.15,Flat,Up,Wrong!
416,24122.15,24120.7,Flat,Up,Wrong!
417,24120.7,24115.8,Flat,Flat,Correct!
418,24115.8,24110.9,Flat,Up,Wrong!
419,24110.9,24106.35,Flat,Down,Wrong!
420,24106.35,24120.9,Flat,Down,Wrong!
421,24120.9,24125.4,Flat,Up,Wrong!
422,24125.4,24124.75,Flat,Up,Wrong!
423,24124.75,24127.2,Flat,Flat,Correct!
424,24127.2,24122.8,Flat,Up,Wrong!
425,24122.8,24111.6,Flat,Up,Wrong!
426,24111.6,24114.6,Flat,Up,Wrong!
427,24114.6,24120.7,Flat,Down,Wrong!
428,24120.7,24121.25,Flat,Down,Wrong!
429,24121.25,24131.55,Flat,Up,Wrong!
430,24131.55,24139.85,Flat,Down,Wrong!
431,24139.85,24142.5,Flat,Up,Wrong!
432,24142.5,24138.8,Flat,Down,Wrong!
433,24138.8,24126.65,Flat,Down,Wrong!
434,24126.65,24133.85,Flat,Up,Wrong!
435,24133.85,24132.0,Flat,Down,Wrong!
436,24132.0,24139.6,Flat,Flat,Correct!
437,24139.6,24128.25,Flat,Down,Wrong!
438,24128.25,24124.3,Flat,Down,Wrong!
439,24124.3,24129.55,Flat,Down,Wrong!
440,24129.55,24123.8,Flat,Down,Wrong!
441,24123.8,24122.8,Flat,Up,Wrong!
442,24122.8,24121.5,Flat,Down,Wrong!
443,24121.5,24111.35,Flat,Down,Wrong!
444,24111.35,24100.2,Flat,Up,Wrong!
445,24100.2,24098.3,Flat,Down,Wrong!
446,24098.3,24107.15,Flat,Up,Wrong!
447,24107.15,24098.7,Flat,Down,Wrong!
448,24098.7,24089.75,Flat,Down,Wrong!
449,24089.75,24104.75,Flat,Down,Wrong!
450,24104.75,24103.25,Flat,Down,Wrong!
451,24103.25,24111.0,Flat,Down,Wrong!
452,24111.0,24106.5,Flat,Down,Wrong!
453,24106.5,24099.55,Flat,Flat,Correct!
454,24099.55,24095.7,Flat,Down,Wrong!
455,24095.7,24091.55,Flat,Flat,Correct!
456,24091.55,24084.55,Flat,Up,Wrong!
457,24084.55,24079.7,Flat,Down,Wrong!
458,24079.7,24080.3,Flat,Up,Wrong!
459,24080.3,24078.95,Flat,Flat,Correct!
460,24078.95,24079.15,Flat,Up,Wrong!
461,24079.15,24083.1,Flat,Up,Wrong!
462,24083.1,24076.55,Flat,Down,Wrong!
463,24076.55,24080.7,Flat,Down,Wrong!
464,24080.7,24080.2,Flat,Flat,Correct!
465,24080.2,24081.9,Flat,Up,Wrong!
466,24081.9,24094.15,Flat,Flat,Correct!
467,24094.15,24092.05,Flat,Flat,Correct!
468,24092.05,24090.35,Flat,Up,Wrong!
469,24090.35,24090.1,Flat,Down,Wrong!
470,24090.1,24094.55,Flat,Up,Wrong!
471,24094.55,24095.6,Flat,Flat,Correct!
472,24095.6,24095.45,Flat,Down,Wrong!
473,24095.45,24099.05,Flat,Up,Wrong!
474,24099.05,24096.55,Flat,Up,Wrong!
475,24096.55,24108.4,Flat,Flat,Correct!
476,24108.4,24107.95,Flat,Flat,Correct!
477,24107.95,24105.6,Flat,Down,Wrong!
478,24105.6,24114.05,Flat,Flat,Correct!
479,24114.05,24121.15,Flat,Up,Wrong!
480,24121.15,24120.2,Flat,Up,Wrong!
481,24120.2,24120.1,Flat,Down,Wrong!
482,24120.1,24109.0,Flat,Down,Wrong!
483,24109.0,24109.15,Flat,Down,Wrong!
484,24109.15,24113.75,Flat,Flat,Correct!
485,24113.75,24116.15,Flat,Down,Wrong!
486,24116.15,24105.15,Flat,Down,Wrong!
487,24105.15,24099.05,Flat,Up,Wrong!
488,24099.05,24097.5,Flat,Up,Wrong!
489,24097.5,24098.6,Flat,Up,Wrong!
490,24098.6,24096.15,Flat,Up,Wrong!
491,24096.15,24094.5,Flat,Up,Wrong!
492,24094.5,24097.8,Flat,Down,Wrong!
493,24097.8,24100.95,Flat,Up,Wrong!
494,24100.95,24105.2,Flat,Flat,Correct!
495,24105.2,24109.5,Flat,Up,Wrong!
496,24109.5,24112.0,Flat,Down,Wrong!
497,24112.0,24098.5,Flat,Down,Wrong!
498,24098.5,24100.35,Flat,Up,Wrong!
499,24100.35,24101.15,Flat,Down,Wrong!
500,24101.15,24114.0,Flat,Down,Wrong!
501,24114.0,24109.3,Flat,Up,Wrong!
502,24109.3,24104.55,Flat,Flat,Correct!
503,24104.55,24106.2,Flat,Flat,Correct!
504,24106.2,24104.8,Flat,Flat,Correct!
505,24104.8,24102.0,Flat,Up,Wrong!
506,24102.0,24103.9,Flat,Down,Wrong!
507,24103.9,24103.6,Flat,Down,Wrong!
508,24103.6,24103.8,Flat,Up,Wrong!
509,24103.8,24103.35,Flat,Down,Wrong!
510,24103.35,24106.1,Flat,Flat,Correct!
511,24106.1,24099.15,Flat,Flat,Correct!
512,24099.15,24095.8,Flat,Flat,Correct!
513,24095.8,24099.45,Flat,Up,Wrong!
514,24099.45,24095.75,Flat,Flat,Correct!
515,24095.75,24095.8,Flat,Flat,Correct!
516,24095.8,24096.55,Flat,Up,Wrong!
517,24096.55,24096.65,Flat,Up,Wrong!
518,24096.65,24098.05,Flat,Up,Wrong!
519,24098.05,24098.1,Flat,Flat,Correct!
520,24098.1,24097.55,Flat,Up,Wrong!
521,24097.55,24111.8,Flat,Flat,Correct!
522,24111.8,24114.65,Flat,Down,Wrong!
523,24114.65,24124.15,Flat,Down,Wrong!
524,24124.15,24122.9,Flat,Down,Wrong!
525,24122.9,24125.45,Flat,Down,Wrong!
526,24125.45,24125.95,Flat,Flat,Correct!
527,24125.95,24124.35,Flat,Down,Wrong!
528,24124.35,24122.9,Flat,Flat,Correct!
529,24122.9,24118.35,Flat,Up,Wrong!
530,24118.35,24107.75,Flat,Flat,Correct!
531,24107.75,24107.9,Flat,Up,Wrong!
532,24107.9,24105.45,Flat,Flat,Correct!
533,24105.45,24104.75,Flat,Up,Wrong!
534,24104.75,24107.7,Flat,Up,Wrong!
535,24107.7,24106.95,Flat,Up,Wrong!
536,24106.95,24111.35,Flat,Down,Wrong!
537,24111.35,24111.3,Flat,Down,Wrong!
538,24111.3,24113.3,Flat,Up,Wrong!
539,24113.3,24115.3,Flat,Flat,Correct!
540,24115.3,24118.3,Flat,Up,Wrong!
541,24118.3,24116.55,Flat,Up,Wrong!
542,24116.55,24114.3,Flat,Up,Wrong!
543,24114.3,24116.15,Flat,Up,Wrong!
544,24116.15,24116.7,Flat,Up,Wrong!
545,24116.7,24127.8,Flat,Up,Wrong!
546,24127.8,24131.4,Flat,Down,Wrong!
547,24131.4,24137.45,Flat,Flat,Correct!
548,24137.45,24144.15,Flat,Down,Wrong!
549,24144.15,24145.8,Flat,Down,Wrong!
550,24145.8,24149.95,Flat,Down,Wrong!
551,24149.95,24146.1,Flat,Up,Wrong!
552,24146.1,24147.1,Flat,Up,Wrong!
553,24147.1,24140.95,Flat,Up,Wrong!
554,24140.95,24139.05,Flat,Down,Wrong!
555,24139.05,24136.95,Flat,Flat,Correct!
556,24136.95,24138.7,Flat,Up,Wrong!
557,24138.7,24140.9,Flat,Flat,Correct!
558,24140.9,24152.65,Flat,Flat,Correct!
559,24152.65,24150.45,Flat,Up,Wrong!
560,24150.45,24149.65,Flat,Down,Wrong!
561,24149.65,24153.4,Flat,Down,Wrong!
562,24153.4,24153.1,Flat,Up,Wrong!
563,24153.1,24152.65,Flat,Up,Wrong!
564,24152.65,24154.65,Flat,Down,Wrong!
565,24154.65,24152.85,Flat,Up,Wrong!
566,24152.85,24145.05,Flat,Down,Wrong!
567,24145.05,24148.1,Flat,Down,Wrong!
568,24148.1,24149.8,Flat,Down,Wrong!
569,24149.8,24144.6,Flat,Up,Wrong!
570,24144.6,24146.05,Flat,Flat,Correct!
571,24146.05,24140.4,Flat,Flat,Correct!
572,24140.4,24138.65,Flat,Up,Wrong!
573,24138.65,24131.95,Flat,Up,Wrong!
574,24131.95,24133.65,Flat,Down,Wrong!
575,24133.65,24134.45,Flat,Down,Wrong!
576,24134.45,24133.15,Flat,Flat,Correct!
577,24133.15,24137.7,Flat,Up,Wrong!
578,24137.7,24141.5,Flat,Up,Wrong!
579,24141.5,24138.85,Flat,Down,Wrong!
580,24138.85,24136.0,Flat,Flat,Correct!
581,24136.0,24135.4,Flat,Up,Wrong!
582,24135.4,24141.0,Flat,Down,Wrong!
583,24141.0,24146.95,Flat,Down,Wrong!
584,24146.95,24144.5,Flat,Flat,Correct!
585,24144.5,24144.9,Flat,Up,Wrong!
586,24144.9,24148.2,Flat,Flat,Correct!
587,24148.2,24145.65,Flat,Down,Wrong!
588,24145.65,24138.6,Flat,Down,Wrong!
589,24138.6,24139.75,Flat,Flat,Correct!
590,24139.75,24144.65,Flat,Up,Wrong!
591,24144.65,24143.8,Flat,Down,Wrong!
592,24143.8,24141.6,Flat,Down,Wrong!
593,24141.6,24134.4,Flat,Up,Wrong!
594,24134.4,24135.35,Flat,Down,Wrong!
595,24135.35,24139.25,Flat,Flat,Correct!
596,24139.25,24126.8,Flat,Flat,Correct!
597,24126.8,24117.8,Flat,Down,Wrong!
598,24117.8,24119.25,Flat,Flat,Correct!
599,24119.25,24107.75,Flat,Up,Wrong!
600,24107.75,24107.5,Flat,Up,Wrong!
601,24107.5,24107.55,Flat,Flat,Correct!
602,24107.55,24101.95,Flat,Flat,Correct!
603,24101.95,24102.0,Flat,Down,Wrong!
604,24102.0,24107.25,Flat,Up,Wrong!
605,24107.25,24112.85,Flat,Up,Wrong!
606,24112.85,24113.6,Flat,Up,Wrong!
607,24113.6,24112.65,Flat,Up,Wrong!
608,24112.65,24111.35,Flat,Flat,Correct!
609,24111.35,24123.6,Flat,Flat,Correct!
610,24123.6,24132.95,Flat,Flat,Correct!
611,24132.95,24136.3,Flat,Up,Wrong!
612,24136.3,24140.9,Flat,Up,Wrong!
613,24140.9,24140.65,Flat,Up,Wrong!
614,24140.65,24141.1,Flat,Down,Wrong!
615,24141.1,24141.0,Flat,Flat,Correct!
616,24141.0,24142.35,Flat,Up,Wrong!
617,24142.35,24151.65,Flat,Down,Wrong!
618,24151.65,24153.05,Flat,Down,Wrong!
619,24153.05,24150.45,Flat,Up,Wrong!
620,24150.45,24151.6,Flat,Up,Wrong!
621,24151.6,24155.05,Flat,Down,Wrong!
622,24155.05,24153.15,Flat,Up,Wrong!
623,24153.15,24151.25,Flat,Up,Wrong!
624,24151.25,24154.25,Flat,Flat,Correct!
625,24154.25,24155.85,Flat,Down,Wrong!
626,24155.85,24153.65,Flat,Up,Wrong!
627,24153.65,24159.3,Flat,Down,Wrong!
628,24159.3,24185.9,Flat,Up,Wrong!
629,24185.9,24186.8,Flat,Down,Wrong!
630,24186.8,24161.9,Flat,Flat,Correct!
631,24161.9,24165.2,Flat,Up,Wrong!
632,24165.2,24145.65,Flat,Down,Wrong!
633,24145.65,24152.1,Flat,Down,Wrong!
634,24152.1,24144.15,Flat,Up,Wrong!
635,24144.15,24143.7,Flat,Flat,Correct!
636,24143.7,24148.1,Flat,Down,Wrong!
637,24148.1,24144.4,Flat,Flat,Correct!
638,24144.4,24134.3,Flat,Up,Wrong!
639,24134.3,24146.5,Flat,Up,Wrong!
640,24146.5,24145.75,Flat,Flat,Correct!
641,24145.75,24139.55,Flat,Down,Wrong!
642,24139.55,24138.35,Flat,Down,Wrong!
643,24138.35,24149.4,Flat,Up,Wrong!
644,24149.4,24151.8,Flat,Down,Wrong!
645,24151.8,24150.45,Flat,Down,Wrong!
646,24150.45,24140.55,Flat,Down,Wrong!
647,24140.55,24139.2,Flat,Flat,Correct!
648,24139.2,24146.6,Flat,Up,Wrong!
649,24146.6,24144.2,Flat,Flat,Correct!
650,24144.2,24141.5,Flat,Down,Wrong!
651,24141.5,24134.95,Flat,Down,Wrong!
652,24134.95,24134.95,Flat,Down,Wrong!
653,24134.95,24145.2,Flat,Flat,Correct!
654,24145.2,24145.45,Flat,Down,Wrong!
655,24145.45,24141.4,Flat,Up,Wrong!
656,24141.4,24126.25,Flat,Up,Wrong!
657,24126.25,24118.4,Flat,Down,Wrong!
658,24118.4,24117.35,Flat,Up,Wrong!
659,24117.35,24114.3,Flat,Down,Wrong!
660,24114.3,24127.25,Flat,Flat,Correct!
661,24127.25,24131.8,Flat,Down,Wrong!
662,24131.8,24126.45,Flat,Down,Wrong!
663,24126.45,24144.5,Flat,Down,Wrong!
664,24144.5,24133.7,Flat,Up,Wrong!
665,24133.7,24134.65,Flat,Down,Wrong!
666,24134.65,24129.45,Flat,Flat,Correct!
667,24129.45,24128.05,Flat,Down,Wrong!
668,24128.05,24121.95,Flat,Flat,Correct!
669,24121.95,24123.9,Flat,Down,Wrong!
670,24123.9,24121.2,Flat,Up,Wrong!
